,res,start,end
abcc,59,1950,2008
abdullahi,59,1950,2008
abrahamsson,59,1950,2008
abuja,59,1950,2008
actualite,59,1950,2008
aeronomy,59,1950,2008
affly,59,1950,2008
affreschi,59,1950,2008
afrikan,59,1950,2008
aftertax,59,1950,2008
agartala,59,1950,2008
agel,59,1950,2008
agriculteurs,59,1950,2008
aguaruna,59,1950,2008
aicardi,59,1950,2008
airdrops,59,1950,2008
airglow,59,1950,2008
aisa,59,1950,2008
akil,59,1950,2008
akwa,59,1950,2008
akwapim,59,1950,2008
alatorre,59,1950,2008
albertans,59,1950,2008
alberte,59,1950,2008
aldosterone,59,1950,2008
allbee,59,1950,2008
allergenicity,59,1950,2008
allinger,59,1950,2008
alpujarras,59,1950,2008
além,59,1950,2008
amadu,59,1950,2008
amanah,59,1950,2008
amazonica,59,1950,2008
ambiental,59,1950,2008
ambienti,59,1950,2008
amiran,59,1950,2008
amud,59,1950,2008
anania,59,1950,2008
anastrepha,59,1950,2008
anatectic,59,1950,2008
andh,59,1950,2008
angamis,59,1950,2008
anlo,59,1950,2008
anorak,59,1950,2008
ansah,59,1950,2008
antall,59,1950,2008
anticorruption,59,1950,2008
antimitotic,59,1950,2008
antiproton,59,1950,2008
antitumor,59,1950,2008
antonioni,59,1950,2008
anuradha,59,1950,2008
aoql,59,1950,2008
aphytis,59,1950,2008
appu,59,1950,2008
arabinoside,59,1950,2008
arabiya,59,1950,2008
arcas,59,1950,2008
arcilla,59,1950,2008
arcsine,59,1950,2008
ardc,59,1950,2008
arifin,59,1950,2008
arikaras,59,1950,2008
arkana,59,1950,2008
arkhipov,59,1950,2008
armymen,59,1950,2008
aronow,59,1950,2008
arsenale,59,1950,2008
asare,59,1950,2008
ashot,59,1950,2008
assertible,59,1950,2008
astroglia,59,1950,2008
astronautical,59,1950,2008
atik,59,1950,2008
attie,59,1950,2008
autie,59,1950,2008
autocorrelated,59,1950,2008
autocorrelations,59,1950,2008
automating,59,1950,2008
autoradiograms,59,1950,2008
auxotrophic,59,1950,2008
avadh,59,1950,2008
avda,59,1950,2008
avinu,59,1950,2008
avionics,59,1950,2008
aviva,59,1950,2008
awami,59,1950,2008
axen,59,1950,2008
azaguanine,59,1950,2008
azef,59,1950,2008
babad,59,1950,2008
backdating,59,1950,2008
backhoe,59,1950,2008
backstabbing,59,1950,2008
bailout,59,1950,2008
bajau,59,1950,2008
bajer,59,1950,2008
balewa,59,1950,2008
balkema,59,1950,2008
balliett,59,1950,2008
balmiki,59,1950,2008
bance,59,1950,2008
bandipur,59,1950,2008
bangsa,59,1950,2008
bankson,59,1950,2008
bansal,59,1950,2008
bantustan,59,1950,2008
barberis,59,1950,2008
bardis,59,1950,2008
bardiya,59,1950,2008
bardwan,59,1950,2008
bashar,59,1950,2008
basotho,59,1950,2008
bazaz,59,1950,2008
bebbington,59,1950,2008
beezer,59,1950,2008
beezus,59,1950,2008
beliveau,59,1950,2008
benacerraf,59,1950,2008
benade,59,1950,2008
bendor,59,1950,2008
benemid,59,1950,2008
berakhot,59,1950,2008
berganza,59,1950,2008
berghei,59,1950,2008
bergholz,59,1950,2008
berio,59,1950,2008
berkouwer,59,1950,2008
bermeo,59,1950,2008
berninger,59,1950,2008
beroza,59,1950,2008
berrios,59,1950,2008
berthoff,59,1950,2008
bertz,59,1950,2008
berzins,59,1950,2008
beschi,59,1950,2008
bgu,59,1950,2008
bhaiya,59,1950,2008
bhs,59,1950,2008
bhumibol,59,1950,2008
biemel,59,1950,2008
bienkowski,59,1950,2008
bimbi,59,1950,2008
binyan,59,1950,2008
biodynamics,59,1950,2008
biparietal,59,1950,2008
bipolarization,59,1950,2008
biratnagar,59,1950,2008
birkat,59,1950,2008
birnin,59,1950,2008
bitewing,59,1950,2008
biul,59,1950,2008
bjrl,59,1950,2008
bln,59,1950,2008
bloodbrain,59,1950,2008
bloodflow,59,1950,2008
bloß,59,1950,2008
bnb,59,1950,2008
bodiliness,59,1950,2008
boguslaw,59,1950,2008
bokhari,59,1950,2008
boku,59,1950,2008
boleh,59,1950,2008
bookend,59,1950,2008
boullee,59,1950,2008
bourns,59,1950,2008
brainwashed,59,1950,2008
brainwashing,59,1950,2008
brandname,59,1950,2008
breastfeed,59,1950,2008
bredemeier,59,1950,2008
brimblecombe,59,1950,2008
brisas,59,1950,2008
brouwers,59,1950,2008
bryna,59,1950,2008
brynner,59,1950,2008
bssr,59,1950,2008
bti,59,1950,2008
bubba,59,1950,2008
buea,59,1950,2008
bufferin,59,1950,2008
bugental,59,1950,2008
bukan,59,1950,2008
bundesamt,59,1950,2008
burundi,59,1950,2008
burzio,59,1950,2008
byroade,59,1950,2008
béton,59,1950,2008
cag,59,1950,2008
caidin,59,1950,2008
callicebus,59,1950,2008
calpulli,59,1950,2008
cameroonian,59,1950,2008
campesina,59,1950,2008
campisi,59,1950,2008
candelas,59,1950,2008
cannelloni,59,1950,2008
cantorial,59,1950,2008
capitalintensive,59,1950,2008
caputi,59,1950,2008
carazo,59,1950,2008
caryn,59,1950,2008
caryologia,59,1950,2008
casandra,59,1950,2008
catalogne,59,1950,2008
cavazos,59,1950,2008
cayrol,59,1950,2008
cbt,59,1950,2008
ccir,59,1950,2008
cdi,59,1950,2008
centrosymmetric,59,1950,2008
cevdet,59,1950,2008
cewa,59,1950,2008
cfo,59,1950,2008
chachapoyas,59,1950,2008
chainsaw,59,1950,2008
chalchuapa,59,1950,2008
chamula,59,1950,2008
chandigarh,59,1950,2008
chandor,59,1950,2008
chandrapur,59,1950,2008
chandris,59,1950,2008
checkland,59,1950,2008
chengchi,59,1950,2008
cheverny,59,1950,2008
cheyette,59,1950,2008
chiarella,59,1950,2008
chiasson,59,1950,2008
chikmagalur,59,1950,2008
chinh,59,1950,2008
chlortetracycline,59,1950,2008
choong,59,1950,2008
chosun,59,1950,2008
chromatographs,59,1950,2008
chrysophyta,59,1950,2008
chw,59,1950,2008
ciat,59,1950,2008
cincta,59,1950,2008
cintron,59,1950,2008
circonscription,59,1950,2008
cisl,59,1950,2008
ciu,59,1950,2008
clasts,59,1950,2008
clausi,59,1950,2008
cleofas,59,1950,2008
clerides,59,1950,2008
clientship,59,1950,2008
closedloop,59,1950,2008
closeout,59,1950,2008
cobalamin,59,1950,2008
cocurrent,59,1950,2008
coedited,59,1950,2008
coffeemakers,59,1950,2008
cognomina,59,1950,2008
collagenases,59,1950,2008
complementarities,59,1950,2008
comunita,59,1950,2008
conceptualise,59,1950,2008
condições,59,1950,2008
confiderable,52,1950,2001
congas,59,1950,2008
consensuses,59,1950,2008
consorcio,59,1950,2008
consumerism,59,1950,2008
cooray,59,1950,2008
correlators,59,1950,2008
corros,59,1950,2008
cortisol,59,1950,2008
corydoras,59,1950,2008
cossac,59,1950,2008
courtappointed,59,1950,2008
covariations,59,1950,2008
craniocaudal,59,1950,2008
craton,59,1950,2008
creamware,59,1950,2008
crescita,59,1950,2008
criminogenic,59,1950,2008
crosscorrelation,59,1950,2008
cultigen,59,1950,2008
cultigens,59,1950,2008
cultivars,59,1950,2008
cycloalkanes,59,1950,2008
dabistan,59,1950,2008
dagi,59,1950,2008
daix,59,1950,2008
dalitz,59,1950,2008
daljit,59,1950,2008
damasio,59,1950,2008
dandakaranya,59,1950,2008
danuta,59,1950,2008
darko,59,1950,2008
dassault,59,1950,2008
daughaday,59,1950,2008
davidii,59,1950,2008
deadspace,59,1950,2008
debug,59,1950,2008
decennio,59,1950,2008
declassify,59,1950,2008
dedza,59,1950,2008
deflandre,59,1950,2008
degrazia,59,1950,2008
dellie,59,1950,2008
delocalization,59,1950,2008
demaria,59,1950,2008
demonologists,59,1950,2008
demuestra,59,1950,2008
dengan,59,1950,2008
denoon,59,1950,2008
denpasar,59,1950,2008
dentler,59,1950,2008
deontic,59,1950,2008
deoxyribonuclease,59,1950,2008
deoxyribose,59,1950,2008
depositi,59,1950,2008
dermatoglyphics,59,1950,2008
derome,59,1950,2008
desaussure,59,1950,2008
desbarats,59,1950,2008
deseasonalized,59,1950,2008
desegregate,59,1950,2008
desegregated,59,1950,2008
diapausing,59,1950,2008
diapiric,59,1950,2008
dictyosomes,59,1950,2008
digitization,59,1950,2008
diksa,59,1950,2008
dildo,59,1950,2008
dillenberger,59,1950,2008
dinerstein,59,1950,2008
dirigente,59,1950,2008
disaggregating,59,1950,2008
discographies,59,1950,2008
divrei,59,1950,2008
dmd,59,1950,2008
dnf,59,1950,2008
dodrill,59,1950,2008
dogsbody,59,1950,2008
dohrenwend,59,1950,2008
dokki,59,1950,2008
domergue,59,1950,2008
dooyeweerd,59,1950,2008
dorthea,59,1950,2008
doshas,59,1950,2008
doudou,59,1950,2008
douve,59,1950,2008
downdrift,59,1950,2008
dpnh,59,1950,2008
dreiling,59,1950,2008
dresch,59,1950,2008
druckman,59,1950,2008
drywall,59,1950,2008
dtn,59,1950,2008
dulbecco,59,1950,2008
duman,59,1950,2008
dumitrescu,59,1950,2008
durruti,59,1950,2008
dvc,59,1950,2008
déchets,59,1950,2008
eaglesham,59,1950,2008
eckenfelder,59,1950,2008
ecumene,59,1950,2008
edta,59,1950,2008
ehp,59,1950,2008
eisbn,59,1950,2008
elastase,59,1950,2008
electroanalytical,59,1950,2008
electronmicroscopy,59,1950,2008
elitists,59,1950,2008
elliptocytosis,59,1950,2008
eluents,59,1950,2008
eml,59,1950,2008
encephaloceles,59,1950,2008
encoder,59,1950,2008
entally,59,1950,2008
enterococcal,59,1950,2008
eoi,59,1950,2008
epicondylitis,59,1950,2008
epn,59,1950,2008
erdbeben,59,1950,2008
erfaßt,59,1950,2008
ergastoplasm,59,1950,2008
erim,59,1950,2008
esophagogastric,59,1950,2008
espacial,59,1950,2008
espécies,59,1950,2008
essentialistic,59,1950,2008
estão,59,1950,2008
europeanist,59,1950,2008
eutherian,59,1950,2008
eutherians,59,1950,2008
evaporitic,59,1950,2008
evelin,59,1950,2008
eximbank,59,1950,2008
explanans,59,1950,2008
explicitation,59,1950,2008
extrachromosomal,59,1950,2008
extraluminal,59,1950,2008
extraregional,59,1950,2008
ezd,59,1950,2008
ezda,59,1950,2008
ezhov,59,1950,2008
fabricio,59,1950,2008
factbook,59,1950,2008
fallingwater,59,1950,2008
falloff,59,1950,2008
famers,59,1950,2008
farhang,59,1950,2008
farquar,59,1950,2008
fauci,59,1950,2008
federica,59,1950,2008
feifel,59,1950,2008
felsenstein,59,1950,2008
feudals,59,1950,2008
fibrogenic,59,1950,2008
fidell,59,1950,2008
finestone,59,1950,2008
fischetti,59,1950,2008
fixators,59,1950,2008
fliegel,59,1950,2008
florette,59,1950,2008
fluoridated,59,1950,2008
fluorochrome,59,1950,2008
flusser,59,1950,2008
fmb,59,1950,2008
folacin,59,1950,2008
folkow,59,1950,2008
foreshocks,59,1950,2008
fotografico,59,1950,2008
frankliniella,59,1950,2008
frauwallner,59,1950,2008
fridges,59,1950,2008
fsc,59,1950,2008
fudd,59,1950,2008
furberg,59,1950,2008
furio,59,1950,2008
galerkin,59,1950,2008
ganglioside,59,1950,2008
gantrisin,59,1950,2008
gardism,59,1950,2008
garfunkel,59,1950,2008
garoua,59,1950,2008
gaudissart,59,1950,2008
gawthrop,59,1950,2008
gazit,59,1950,2008
gbedemah,59,1950,2008
gdf,59,1950,2008
genutzt,59,1950,2008
geoffrion,59,1950,2008
gershuni,59,1950,2008
gessen,59,1950,2008
gever,59,1950,2008
ghanem,59,1950,2008
gherardini,59,1950,2008
gianfranco,59,1950,2008
gillberg,59,1950,2008
gillo,59,1950,2008
gimblett,59,1950,2008
gingles,59,1950,2008
ginna,59,1950,2008
gisu,59,1950,2008
glassner,59,1950,2008
gleyed,59,1950,2008
glucagon,59,1950,2008
glyphic,59,1950,2008
goldammer,59,1950,2008
goldfine,59,1950,2008
golin,59,1950,2008
gonen,59,1950,2008
gorelick,59,1950,2008
gorkha,59,1950,2008
gospodarka,59,1950,2008
gotong,59,1950,2008
gpc,59,1950,2008
gracq,59,1950,2008
granoff,59,1950,2008
gravidas,59,1950,2008
greatrakes,59,1950,2008
greenson,59,1950,2008
gretl,59,1950,2008
gretz,59,1950,2008
grossular,59,1950,2008
gtc,59,1950,2008
guideway,59,1950,2008
guindon,59,1950,2008
guler,59,1950,2008
gumberg,36,1950,1985
gurcharan,59,1950,2008
gwandu,59,1950,2008
gyrofrequency,59,1950,2008
göran,59,1950,2008
habría,59,1950,2008
hadrill,59,1950,2008
haemophiliacs,59,1950,2008
hailu,59,1950,2008
haimson,59,1950,2008
hamartomatous,59,1950,2008
hameed,59,1950,2008
hangul,59,1950,2008
hanoch,59,1950,2008
harappan,59,1950,2008
hardtop,59,1950,2008
harian,59,1950,2008
haryana,59,1950,2008
hassles,59,1950,2008
hastorf,59,1950,2008
haythornthwaite,59,1950,2008
hbb,59,1950,2008
hebertists,59,1950,2008
heinecken,59,1950,2008
helfgott,59,1950,2008
heliocentrism,59,1950,2008
heritabilities,59,1950,2008
hermie,59,1950,2008
heterocyst,59,1950,2008
hevajra,59,1950,2008
hewlettpackard,59,1950,2008
hexapeptide,59,1950,2008
hidradenitis,59,1950,2008
hiiyiik,59,1950,2008
hiligaynon,59,1950,2008
hillert,59,1950,2008
hipsters,59,1950,2008
hipótesis,59,1950,2008
histaminergic,59,1950,2008
hofstee,59,1950,2008
holsboer,59,1950,2008
holthuis,59,1950,2008
holum,59,1950,2008
holyoak,59,1950,2008
homogamous,59,1950,2008
homopolymer,59,1950,2008
homopolymers,59,1950,2008
homotopic,59,1950,2008
honeyeater,59,1950,2008
hoofnagle,59,1950,2008
hosek,59,1950,2008
