,res,start,end
a as,159,1850,2008
a boca,159,1850,2008
a comunicar,159,1850,2008
a derecho,159,1850,2008
a dominar,159,1850,2008
a escritura,159,1850,2008
a nueve,159,1850,2008
a ocho,159,1850,2008
a otorgar,159,1850,2008
a pedro,159,1850,2008
a respetar,159,1850,2008
a retirarse,159,1850,2008
a sacar,159,1850,2008
a seiscientos,159,1850,2008
a siete,159,1850,2008
a sola,159,1850,2008
a unir,159,1850,2008
a vida,159,1850,2008
a viva,159,1850,2008
a voz,159,1850,2008
abandona por,159,1850,2008
abandonar todo,159,1850,2008
abandonó los,159,1850,2008
abierta el,159,1850,2008
abierto ante,159,1850,2008
abonan la,159,1850,2008
abren un,159,1850,2008
abrían los,159,1850,2008
absorbido en,159,1850,2008
abstuviera de,159,1850,2008
acabados y,159,1850,2008
acción contra,159,1850,2008
aceptado como,159,1850,2008
aceptando como,159,1850,2008
aceptar lo,159,1850,2008
aceptaron en,159,1850,2008
aceptaron y,159,1850,2008
aclaraciones de,159,1850,2008
acogida la,159,1850,2008
acordó enviar,159,1850,2008
acta respectiva,159,1850,2008
activamente la,159,1850,2008
acto entre,159,1850,2008
acto tuvo,159,1850,2008
actos emanados,159,1850,2008
actual forma,159,1850,2008
actual tiene,159,1850,2008
actuales propietarios,159,1850,2008
actualmente sobre,159,1850,2008
acusa en,159,1850,2008
acá es,159,1850,2008
adelanto material,159,1850,2008
adelantos modernos,159,1850,2008
además está,159,1850,2008
además si,159,1850,2008
adiestrados en,159,1850,2008
administrativas por,159,1850,2008
admirable obra,159,1850,2008
admirados y,159,1850,2008
adopta las,159,1850,2008
adoptada de,159,1850,2008
adquiridos durante,159,1850,2008
adquirió gran,159,1850,2008
adquisición del,159,1850,2008
adversa que,159,1850,2008
afirma con,159,1850,2008
afirma sin,159,1850,2008
afirma un,159,1850,2008
afirmando la,159,1850,2008
afirmaron que,159,1850,2008
afluentes que,159,1850,2008
agitando los,159,1850,2008
agotó el,159,1850,2008
agravando la,159,1850,2008
agricultores de,159,1850,2008
agricultores que,159,1850,2008
agrupado en,159,1850,2008
agrícola en,159,1850,2008
agrícola que,159,1850,2008
ahorrar el,159,1850,2008
ahí como,159,1850,2008
ahí tenemos,159,1850,2008
ahí tiene,159,1850,2008
ahí tienes,159,1850,2008
ahí va,159,1850,2008
aislamiento es,159,1850,2008
ajuar de,159,1850,2008
al apostolado,159,1850,2008
al atribuir,159,1850,2008
al barro,159,1850,2008
al censo,159,1850,2008
al cid,159,1850,2008
al criterio,159,1850,2008
al despilfarro,159,1850,2008
al estudiante,159,1850,2008
al exponer,159,1850,2008
al fallar,159,1850,2008
al inaugurar,159,1850,2008
al instalarse,159,1850,2008
al invocar,159,1850,2008
al monje,159,1850,2008
al narrar,159,1850,2008
al negar,159,1850,2008
al obrero,159,1850,2008
al pacífico,159,1850,2008
al pagar,159,1850,2008
al parentesco,159,1850,2008
al parnaso,159,1850,2008
al preparar,159,1850,2008
al sexto,159,1850,2008
