,res,start,end
bien hipotecado,74,1877,1950
convencional secretario,14,1937,1950
de moscou,133,1818,1950
del dictámen,134,1817,1950
deque la,141,1810,1950
donde habian,151,1800,1950
dos parcialidades,113,1838,1950
empleos empleos,25,1926,1950
en berlin,126,1825,1950
habia comunicado,151,1800,1950
habian hecho,151,1800,1950
habian llegado,151,1800,1950
le habian,151,1800,1950
los escesos,140,1811,1950
mas natural,151,1800,1950
no habian,151,1800,1950
plata nativa,98,1853,1950
que babia,151,1800,1950
regimientos donde,25,1926,1950
solo aquellos,138,1813,1950
sosten de,151,1800,1950
é para,109,1842,1950
él habia,151,1800,1950
órden público,151,1800,1950
