,res,start,end
a heavy fire on,142,1809,1950
a profession of religion,151,1800,1950
a ransom for all,151,1800,1950
a severe fit of,151,1800,1950
a variety of instances,151,1800,1950
a woman 's right,62,1889,1950
access to it is,113,1838,1950
account of their having,151,1800,1950
affections of the heart,151,1800,1950
all his subjects to,151,1800,1950
all points tempted like,151,1800,1950
an army of one,151,1800,1950
and addressed them in,151,1800,1950
and delivered over to,151,1800,1950
and fifty thousand francs,121,1830,1950
and kingdom against kingdom,151,1800,1950
and refer the reader,144,1807,1950
and this life is,151,1800,1950
and to judge of,151,1800,1950
and unto the lamb,151,1800,1950
announced to him that,142,1809,1950
anterior superior spine of,109,1842,1950
apartments of the palace,151,1800,1950
as can be borne,136,1815,1950
as he gazed on,150,1801,1950
as hot as can,129,1822,1950
as if eager to,147,1804,1950
attacked by a party,149,1802,1950
baptized shall be saved,151,1800,1950
be admitted to have,151,1800,1950
be made like unto,151,1800,1950
be weeping and gnashing,151,1800,1950
blood of the saints,151,1800,1950
body of troops was,151,1800,1950
but be struck with,151,1800,1950
but he that believeth,151,1800,1950
by christ and his,151,1800,1950
by the bridge of,149,1802,1950
by the most solemn,151,1800,1950
came under my observation,151,1800,1950
christ died for the,151,1800,1950
command of the channel,131,1820,1950
condition of women in,113,1838,1950
desired to speak with,151,1800,1950
did not forsake him,151,1800,1950
drum of the ear,149,1802,1950
engagement on the part,138,1813,1950
exciting cause of the,136,1815,1950
fall a sacrifice to,151,1800,1950
feelings of anger and,125,1826,1950
fell into a profound,151,1800,1950
first of the name,147,1804,1950
five hundred thousand francs,137,1814,1950
for change of air,150,1801,1950
for gallant and meritorious,91,1860,1950
from you into heaven,151,1800,1950
further enacted by the,151,1800,1950
general voice of the,151,1800,1950
give you another comforter,151,1800,1950
god and our saviour,151,1800,1950
had elapsed since his,151,1800,1950
had got possession of,151,1800,1950
had not been already,146,1805,1950
had not where to,151,1800,1950
had the credit of,151,1800,1950
have you to know,151,1800,1950
he determined to take,151,1800,1950
he flattered himself that,151,1800,1950
he found himself under,151,1800,1950
he heard some one,129,1822,1950
he laid himself down,151,1800,1950
he put himself at,151,1800,1950
he threw himself upon,151,1800,1950
